Text,Text Clean,Label,Predicted Label,Correct;;;
@Ary_PrasKe2 @Anak__Ogi @AntoniusCDN @becak50 @ch_chotimah2 @jhonsitorus_19 @kenhans03 @newIding30 @NgkongRoses @PakKarti @S4N_W1B1 Danantara akan dijual ke China. Indonesia bukan siapa-siapa. https://t.co/wCUlCEA8Um,Danantara akan dijual ke China Indonesia bukan siapasiapa,0,1,False;;;
Anindya menilai cabutnya miliarder sekaligus investor kawakan asal Amerika Serikat (AS) itu dari Dewan Penasihat Danantara tidak memengaruhi kepercayaan investor terhadap Sovereign Wealth Fund (SWF). ~TA #RayDalio #Danantara https://t.co/aEmYFfRhfX,Anindya menilai cabutnya miliarder sekaligus investor kawakan asal Amerika Serikat AS itu dari Dewan Penasihat Danantara tidak memengaruhi kepercayaan investor terhadap Sovereign Wealth Fund SWF TA RayDalio Danantara,1,0,False;;;
Privatisasa BUMN sama dgn menjual aset bangsa lewat Danantara mrpkn awal kebangkrutan negeri ini saat dipegang Jokowi Luhut bahkan si bocil Kaesang adlh politik balas budi Prabowo makanya Prabowo dijadikan Presiden. #JokowiPawangPrabowo #DanantaraKonspirasiJahad,Privatisasa BUMN sama dgn menjual aset bangsa lewat Danantara mrpkn awal kebangkrutan negeri ini saat dipegang Jokowi Luhut bahkan si bocil Kaesang adlh politik balas budi Prabowo makanya Prabowo dijadikan Presiden JokowiPawangPrabowo DanantaraKonspirasiJahad,1,0,False;;;
@RaniKancana Holding danantara membuat Indonesia JD macan asia....,Holding danantara membuat Indonesia JD macan asia,0,1,False;;;
@kegblgnunfaedh Kolaborasi ketat pengawasan DANANTARA untuk pembangunan ekonomi 8% inisiatif Presiden Prabowo https://t.co/cRcAxmpiFT,Kolaborasi ketat pengawasan DANANTARA untuk pembangunan ekonomi 8 inisiatif Presiden Prabowo,0,1,False;;;
soon Danantara juara musim depan,soon Danantara juara musim depan,1,0,False;;;
@shitlicious Apasi tolol justru korupsi Pertamina ya harus dikawal gimana hukuman pelakunya soalnya udah jelas korup sedangkan danantara kan baru rilis,Apasi tolol justru korupsi Pertamina ya harus dikawal gimana hukuman pelakunya soalnya udah jelas korup sedangkan danantara kan baru rilis,1,0,False;;;
@CNNIndonesia yah sesuai namanya ya Om Danantara = Dana Orang Tua untuk Anak Tetap Sejahtera,yah sesuai namanya ya Om Danantara Dana Orang Tua untuk Anak Tetap Sejahtera,0,1,False;;;
gw pakai bank mandiri karena tampilan livin' mandiri bagus dan gw sukaaa tapi kenapa lo part of danantara?! ,gw pakai bank mandiri karena tampilan livin mandiri bagus dan gw sukaaa tapi kenapa lo part of danantara,0,1,False;;;
Twitter is truly a bubble. Battleground digital sesungguhnya ada di IG Youtube dan Tiktok. Aku personaly dukung Danantara. Kenapa? Karena cita-cita ekonomi Milton Friedman bisa tercapai hahaha. Less public sector more privatization! Tinggal tunggu negative income tax https://t.co/PcZ5GcsRKE,Twitter is truly a bubble Battleground digital sesungguhnya ada di IG Youtube dan Tiktok Aku personaly dukung Danantara Kenapa Karena citacita ekonomi Milton Friedman bisa tercapai hahaha Less public sector more privatization Tinggal tunggu negative income tax,1,0,False;;;
@CakKhum Wah Soros ga suka liat line up danantara nih,Wah Soros ga suka liat line up danantara nih,1,0,False;;;
@mikuroQ @LambeResing Mencontoh dari kasus ini habis bapaknya nurun ke anaknya artinya kalau sudah makan dari hasil maling akan terlahir maling2 baru trus gimana dengan pejabat korup yang beberapa bercokol di Danantara gak ada yang risih melihatnya,Mencontoh dari kasus ini habis bapaknya nurun ke anaknya artinya kalau sudah makan dari hasil maling akan terlahir maling2 baru trus gimana dengan pejabat korup yang beberapa bercokol di Danantara gak ada yang risih melihatnya,0,1,False;;;
@ArdyaDipta Doi join danantara cuma buat riset buat bukunya pak ,Doi join danantara cuma buat riset buat bukunya pak,0,1,False;;;
Kita lihat apa yang akan terjadi setelah Bank Himbara masuk ke dalam perjudian Danantara,Kita lihat apa yang akan terjadi setelah Bank Himbara masuk ke dalam perjudian Danantara,0,1,False;;;
@kenhans03 Danantara pun makin tenngelam. Nice play pemerintah nice play,Danantara pun makin tenngelam Nice play pemerintah nice play,0,1,False;;;
@KatolikG Danantara ga butuh dinasihati. Dia butuh diurapi. Sekian.,Danantara ga butuh dinasihati Dia butuh diurapi Sekian,1,0,False;;;
@StefanAntonio__ efek danantara krn deviden mayoritas ditarik pemerintah ga menarik bagi asing parkir dana di bigbank,efek danantara krn deviden mayoritas ditarik pemerintah ga menarik bagi asing parkir dana di bigbank,1,0,False;;;
Gak cuma itu Indef juga mengingatkan kalau Danantara gak dikelola dengan profesional bisa-bisa investor asing cabut dan ini bisa bikin pasar makin nggak stabil.,Gak cuma itu Indef juga mengingatkan kalau Danantara gak dikelola dengan profesional bisabisa investor asing cabut dan ini bisa bikin pasar makin nggak stabil,0,1,False;;;
@prastow Tenang mas... Bentar lagi Danantara hadir Selamatkan Sritex...,Tenang mas Bentar lagi Danantara hadir Selamatkan Sritex,1,0,False;;;
@aselisnack @Heraloebss Soal ini LBP sudah tidak dominan lagi seperti masa Jokowi.Itu cuma kebetulan yg menguntungkan Ponakan LBP.Harap2 Danantara bisa seperti PNB Malaysia.,Soal ini LBP sudah tidak dominan lagi seperti masa JokowiItu cuma kebetulan yg menguntungkan Ponakan LBPHarap2 Danantara bisa seperti PNB Malaysia,1,0,False;;;
@Muhikhsan52 @LembagaKERIS Kemarin lihat danantara hanya fokus di hilirisasi Makanya digenjot kilang minyak baru dan nikel tembaga Semoga hasilnya tidak mengecewakan dan bisa mendukung alutsista,Kemarin lihat danantara hanya fokus di hilirisasi Makanya digenjot kilang minyak baru dan nikel tembaga Semoga hasilnya tidak mengecewakan dan bisa mendukung alutsista,1,0,False;;;
@ArdyaDipta Mengerikan danantara ini yaa sesuai prediksi awal netizen,Mengerikan danantara ini yaa sesuai prediksi awal netizen,1,0,False;;;
@__AnakKolong @prabowo @setkabgoid INVESTOR GAK ADA YG BODOH .. KALAUPUN ADA INVESTOR YG BODOH DI INDONESIA ITU CUMA ADA DI DANANTARA.,INVESTOR GAK ADA YG BODOH KALAUPUN ADA INVESTOR YG BODOH DI INDONESIA ITU CUMA ADA DI DANANTARA,0,1,False;;;
@embahjsx udah bener mereka buy back di 3000 BUKAN di 6000 DANANTARA bisa masuk di 3000,udah bener mereka buy back di 3000 BUKAN di 6000 DANANTARA bisa masuk di 3000,1,0,False;;;
terjun bebas wkwk jaya danantara,terjun bebas wkwk jaya danantara,0,1,False;;;
@ekokuntadhi1 Dan presiden @prabowo pura pura amnesia yg katanya danantara tidak ada nepotisme apalagi koncoisme cuma titipanisme doang kan pak ?!,Dan presiden pura pura amnesia yg katanya danantara tidak ada nepotisme apalagi koncoisme cuma titipanisme doang kan pak,0,1,False;;;
@JhonSitorus_18 Bang jangan alihkan isu dari Danantara yg nggak tersentuh audit apapun. Wajib diwaspadai.,Bang jangan alihkan isu dari Danantara yg nggak tersentuh audit apapun Wajib diwaspadai,0,1,False;;;
