Text,Text Clean,Label,Predicted Label,Correct
@tomiepalito Emang USD lg kuat2 nya tom. Trump aja udah sampe getol sama the fed. Bank kinerjanya bagus kok. Danantara DHE bank emas semua positif asal dikelola baik aja.,Emang USD lg kuat2 nya tom Trump aja udah sampe getol sama the fed Bank kinerjanya bagus kok Danantara DHE bank emas semua positif asal dikelola baik aja,1,0,False
@kegblgnunfaedh Kolaborasi ketat pengawasan DANANTARA untuk pembangunan ekonomi 8% inisiatif Presiden Prabowo https://t.co/cRcAxmpiFT,Kolaborasi ketat pengawasan DANANTARA untuk pembangunan ekonomi 8 inisiatif Presiden Prabowo,0,1,False
Lalu ada juga yang lagi berharap dilirik Danantara karena kalau ekspansi memang butuh modal hingga ada yang kejepit dengan liabilitas jangka pendeknya.,Lalu ada juga yang lagi berharap dilirik Danantara karena kalau ekspansi memang butuh modal hingga ada yang kejepit dengan liabilitas jangka pendeknya,1,0,False
@FrediRandi4 Semangat positif Joint Fund Rp 67 5 T Danantara dengan global bener-bener hasil arahan Presiden Prabowo yang inspiratif,Semangat positif Joint Fund Rp 67 5 T Danantara dengan global benerbener hasil arahan Presiden Prabowo yang inspiratif,0,1,False
@AiraNtieReal Ya mau gmna lg. Namun sya termasuk dukung danantara utk (sukses) krn akan membuat negara surplus nntinya sya tdk dukung yg punya (rencana korupsi). Krn itu akan merugikan negara. secara uang yg dikelola adalah (uang negara). Track record pengurus hahaha Goodluck buat rakyat.,Ya mau gmna lg Namun sya termasuk dukung danantara utk sukses krn akan membuat negara surplus nntinya sya tdk dukung yg punya rencana korupsi Krn itu akan merugikan negara secara uang yg dikelola adalah uang negara Track record pengurus hahaha Goodluck buat rakyat,1,0,False
@prastow Tenang mas... Bentar lagi Danantara hadir Selamatkan Sritex...,Tenang mas Bentar lagi Danantara hadir Selamatkan Sritex,1,0,False
@Falkenhaynz Nah Dengan tim danantara di isi mantan musuh Soros. Plus UU TNI. We can do it ,Nah Dengan tim danantara di isi mantan musuh Soros Plus UU TNI We can do it,1,0,False
@CNNIndonesia yah sesuai namanya ya Om Danantara = Dana Orang Tua untuk Anak Tetap Sejahtera,yah sesuai namanya ya Om Danantara Dana Orang Tua untuk Anak Tetap Sejahtera,0,1,False
@papanberjalan Danantara harusnya dipakai buat ini jgn dikeep sampai 2029 ,Danantara harusnya dipakai buat ini jgn dikeep sampai 2029,0,1,False
@MEfendy1971 @Heraloebss Kesempatan dimanfaatkan LBP dg mengeluarkan keponakannya yg semula sbg Wakil Dirut di persh Toba Sejahtera kmd didudukan sbg petinggi di Danantara (bayi yg baru lahir &amp; ingin menguasai BUMN di Indonesia),Kesempatan dimanfaatkan LBP dg mengeluarkan keponakannya yg semula sbg Wakil Dirut di persh Toba Sejahtera kmd didudukan sbg petinggi di Danantara bayi yg baru lahir dan ingin menguasai BUMN di Indonesia,0,1,False
Dan akhirnya danantara tidak ada yang bahas...,Dan akhirnya danantara tidak ada yang bahas,1,0,False
Selain itu Menteri Rosan juga menanggapi kekhawatiran tentang Danantara bahwa tidak ada yang kebal hukum di Indonesia dan semua diawasi. https://t.co/z23pwBBilH,Selain itu Menteri Rosan juga menanggapi kekhawatiran tentang Danantara bahwa tidak ada yang kebal hukum di Indonesia dan semua diawasi,1,0,False
@FrediRandi4 Visi Presiden Prabowo soal masa depan cerah makin valid dengan kehadiran kolaborasi Danantara,Visi Presiden Prabowo soal masa depan cerah makin valid dengan kehadiran kolaborasi Danantara,0,1,False
