Text,Stemming,True Label,Predicted Label,Correct
udah bisa buat danantara tanpa potong potong budget pak bos @prabowo,udah danantara potong potong budget bos,1,0,False
Empat bank BUMN sepakat membagikan dividen ke negara dengan total nilai mencapai Rp59 12 triliun untuk 2024. Semua dividen tersebut masuk jadi modal Danantara? https://t.co/TZYyj9xNl7,bank bumn sepakat bagi dividen negara total nilai capai rp59 12 triliun 2024 dividen masuk modal danantara,1,0,False
Melalui Danantara BUMN akan Beroperasi Dengan Standar Yang Tinggi Governance Yang Baik. https://t.co/DYpFo0CDAg,danantara bumn operasi standar governance,1,0,False
yakin deh Danantara bisa bikin inves meningkat https://t.co/oXpI6XRiFM,deh danantara bikin inves tingkat,1,0,False
 Robohnya Legenda Tekstil . Jika Sritex benar2 tumbang : Yang utama diselamatkan oleh Pemerintah adalah nasib buruhnya. Pemiliknya pasti masih aman sentosa hidupnya. Apakah Danantara sebagai misal awal bisa digunakan untuk menyelamatkan raksasa tekstil ini?,roboh legenda tekstil sritex benar2 tumbang utama selamat perintah nasib buruh milik aman sentosa hidup danantara selamat raksasa tekstil,1,0,False
Danantara dapat menjadi motor utama dalam pendanaan proyek energi baru terbarukan (EBT) serta program pensiun dini bagi pembangkit listrik tenaga uap (PLTU) batu bara. #Danantara #investasimaju #Investasiuntuknegeri #indonesiaemas #dukungdanantara #indonesiaemas2045 https://t.co/uaAtpSn5KE,danantara motor utama dana proyek energi baru ebt program pensiun bangkit listrik tenaga uap pltu batu bara danantara investasimaju investasiuntuknegeri indonesiaemas dukungdanantara indonesiaemas2045,1,0,False
@ARSIPAJA Udah biarin danantara yg investasi disini mah.,udah biarin danantara yg investasi mah,1,0,False
Danantara pengelolaan kekayaan menjadi optimah sehingga dapat dinikmati hingga generasi yg àkan datang https://t.co/9nX6lRTAcH,danantara kelola kaya optimah nikmat generasi yg,1,0,False
Oh ya? Ditunggu revisi UU BUMN dan launching Danantara nya pak,oh ya tunggu revisi uu bumn launching danantara nya,1,0,False
@dheppylovelly Masyarakat Indonesia siap kawal transparansi Danantara biar hasilnya benar-benar menguntungkan,masyarakat indonesia kawal transparansi danantara biar hasil benarbenar untung,1,0,False
Jaminannya hanya kebesaran nama Prabowo. Masa sih di usia senja masih akan terbenam dosa Danantara? Sebuah 'hil yang mustahal'.,jamin besar nama prabowo sih usia senja benam dosa danantara hil mustahal,0,1,False
@Hilmi28 Ntar danantara nyusul melibas semua yg ada diperingkat atas kelasemen,ntar danantara nyusul libas yg peringkat kelasemen,1,0,False
Ketua Dewan Ekonomi Nasional Luhut Binsar Pandjaitan menanggapi penunjukan mantan Perdana Menteri Inggris Tony Blair sebagai dewan pengawas BP Danantara. Luhut menilai kehadiran Blair dalam struktur BP Danantara merupakan hal positif mengingat rekam jejaknya yang membantu https://t.co/AR62JJ9bWy,ketua dewan ekonomi nasional luhut binsar pandjaitan tanggap tunjuk mantan perdana menteri inggris tony blair dewan awas bp danantara luhut nilai hadir blair struktur bp danantara positif rekam jejak bantu,1,0,False
@Nan4_ecia Setuju banget. Danantara sudah mulai kelihatan,tuju banget danantara,1,0,False
Alokasi Rp300 Triliun ke Danantara Berpotensi Timbulkan Kontraksi Ekonomi. Kontraksi permbuhan ekonomi bisa memicu dampak lain yang lebih ekstrem. Hal ini bisa membuat perputaran uang di dalam negeri melambat. https://t.co/BK2u6DOyQf https://t.co/6ID2cXv5eo,alokasi rp300 triliun danantara potensi timbul kontraksi ekonomi kontraksi permbuhan ekonomi picu dampak ekstrem putar uang negeri lambat,0,1,False
@msaid_didu Kuncinya menarik investasi bukan dengan membikin danantara tapi tata kelola negara yang baik tidak ada koruptor pertumbuhan ekonomi baik demokrasi berjalan baik ,kunci tarik investasi bikin danantara tata kelola negara koruptor tumbuh ekonomi demokrasi jalan,0,1,False
@CNNIndonesia Oh tenang cari wapres yg janji ribuan lowongan kerja atau pindah ke DANANTARA bisa nampung 8000,oh tenang cari wapres yg janji ribu lowong kerja pindah danantara nampung 8000,1,0,False
Bahlil Lahadalia Soal Banyaknya WNA Jadi Pengurus Danantara: Asal Profesional Tak Masalah #bahlillahadalia #kuningkeren #golkarindonesia #partaigolkar #golkarpedia https://t.co/UVn1hpHqJ1,bahlil lahadalia banyak wna urus danantara profesional bahlillahadalia kuningkeren golkarindonesia partaigolkar golkarpedia,1,0,False
Ternyata Danantara ga Cuma badan investasi aja. Ternyata bisa juga nambah lapangan kerja https://t.co/RKKV0fv3a6,danantara ga badan investasi aja nambah lapang kerja,1,0,False
@kangrozin Memang itu Mas salah satu kalau bukan tujuan utamanya Danantara. Bikin investor asing lebih percaya masukin modal ke sini dengan put skin in the game.,mas salah tuju utama danantara bikin investor asing percaya masukin modal put skin in the game,1,0,False
@thelakeshadow Cara Danantara menjawab rumor patut diapresiasi.,danantara rumor patut apresiasi,1,0,False
