Text,Stemming,True Label,Predicted Label,Correct;;
@Saham_fess Portoku masih aman Dan anda pendukung Danantara Nder jadi santuy saja ,porto aman dukung danantara nder santuy,2,1,False;;
buat yg belum denger wajib deh! Danantara no debat https://t.co/2yBheI3u3C,yg denger wajib deh danantara no debat,1,0,False;;
Perusahaan energi asal UEA jajaki peluang kongsi dengan danantara https://t.co/xZCrs07hJb,usaha energi uea jajak peluang kongsi danantara,2,1,False;;
Kasus pertamina merupakan pengalihan isu dari danantara Yay or Nay ???!!!,pertamina alih isu danantara yay or nay,2,0,False;;
@shitlicious Udah bang gak usah bahas2 lagi soal Pertamina Danantara dll.. udah kayak nntn Netflix bsok nunggu season selanjutnya apa lagi. Bahas hukuman mati aja buat koruptor.. Korupsi seperak juga hukum mati.,udah bang gak bahas2 pertamina danantara dll udah kayak nntn netflix bsok nunggu season bahas hukum mati aja koruptor korupsi perak hukum mati,2,0,False;;
Fitch Ratings meyakini langkah-langkah untuk membawa beberapa BUMN besar Indonesia di bawah kepemilikan Danantara tidak mungkin mengubah penilaian kami. https://t.co/1MU8cPZQOM #peringkat #fitchratings #bumn #danantara #investasi,fitch ratings langkahlangkah bawa bumn indonesia milik danantara ubah nilai peringkat fitchratings bumn danantara investasi,2,1,False;;
Seperti saya bahas di Space semalem ini dilakukan negara lain. PIF SWF Kerajaan Saudi dengan nilai aset setara Danantara mulai dg hanya 4% kepemilikan Aramco yg perlahan ditambah smp sekitar 16%. Dengan jaminan ini PIF kemudian bikin NEON beli Newcastle dll.,bahas space semalem negara pif swf raja saudi nilai aset tara danantara dg 4 milik aramco yg perlahan tambah smp 16 jamin pif bikin neon beli newcastle dll,2,0,False;;
Di tengah hangatnya isu pembentukan Daya Anagata Nusantara (Danantara) hingga narasi rush money kinerja bank-bank Himpunan Bank Milik Negara (Himbara) tetap menunjukkan fundamental kua ~SA #Danantara #Himbara #BankMilikNegara https://t.co/pE7kZqvLyn,hangat isu bentuk daya anagata nusantara danantara narasi rush money kerja bankbank himpun bank milik negara himbara fundamental kua sa danantara himbara bankmiliknegara,2,1,False;;
Makanya dibikin danantara bos Lu masih di bab 3 pemerintah dah sampek kesimpulan planning eksekusi,bikin danantara bos lu bab 3 perintah dah sampek simpul planning eksekusi,1,0,False;;
@msaid_didu Narasi sy beda Ini serangan balik PDIP lewat tangan ST Burhanudin Yg diserang Pertamina salah satu BUMN yg msk Danantara Sbg mantan presiden Megawati tdk diajak spt SBY dan Jokowi Di pusaran kasus ini jg muncul bbrp nama yg terkonek dgn orang2 Jokowi dan SBY Ada Hatta Rajasa,narasi sy beda serang pdip tangan st burhanudin yg serang pertamina salah bumn yg msk danantara sbg mantan presiden megawati tdk ajak spt sby jokowi pusar jg muncul bbrp nama yg terkonek dgn orang2 jokowi sby hatta rajasa,2,0,False;;
@irwndfrry @pemudabatuapung Danantara kalo yang kelola elo masih bisa sih keknya...,danantara kalo kelola elo sih kek,2,0,False;;
Bentar lagi danantara will join the chart ‍↕️,bentar danantara will join the chart,2,0,False;;
kita lihat ya si danantara ini akan invest ke mana aja semoga dibuka ke publik,lihat ya si danantara invest aja moga buka publik,2,0,False;;
Indonesia harus jadi pemain utama dalam AI! Danantara dan @TelkomIndonesia siap memimpin transformasi digital dengan teknologi cerdas. @KemenBUMN #telkomindonesia #bigbox #ai #danantara #artificialintelligence #tepatsolutifindonesia #bumn #elevatingyourfuture https://t.co/GoI3ZsCs5d,indonesia main utama ai danantara pimpin transformasi digital teknologi cerdas telkomindonesia bigbox ai danantara artificialintelligence tepatsolutifindonesia bumn elevatingyourfuture,0,1,False;;
Danantara dan Risiko Korupsi: Bagaimana Mencegahnya agar Tidak Jadi Skandal Baru? || Ahok | Pertamax | @prabowo @erickthohir https://t.co/Zz7OjOyUPn,danantara risiko korupsi cegah skandal ahok pertamax,2,0,False;;
Isu pertamax mencuat isu danantara meredup ,isu pertamax cuat isu danantara redup,2,0,False;;
@pururennyaa @taegurl_ @tanyakanrl Ngga perlu juga yang diambil pemerintah dari bank bumn kan hasil untungnya bukan aset dan tabungan nasabahnya kalaupun danantara amit2 bangkrut juga ga ada urusannya sama bank bumn,ngga ambil perintah bank bumn hasil untung aset tabung nasabah danantara amit2 bangkrut ga urus bank bumn,1,0,False;;
@canyonnmoony @tanyakanrl Sebenarnya kurang cocok klo analoginya dengan judol karna kalo judol itu pasti akan kalah. Sementara kalo investasi memang ada resiko tp kalo perhitungan nya pas dan manajemen resikonya baik pasti dapat meminimalisir kerugian. Semoga saja danantara dapat mengelola resiko yg ada,cocok klo analogi judol karna kalo judol kalah kalo investasi resiko tp kalo hitung nya pas manajemen resiko meminimalisir rugi moga danantara kelola resiko yg,1,0,False;;
Danantara Bisa Keluarkan Surat Utang untuk Investasi Todung Mulya Lubis: Jaminannya? https://t.co/VtmOR6YkNK,danantara keluar surat utang investasi todung mulya lubis jamin,2,0,False;;
@xjuraganx @Aloysius_Tatus Raja terakhir Danantara Enabler,raja danantara enabler,2,0,False;;
Ini orang yang jadi CEO Danantara??,orang ceo danantara,2,0,False;;
@StefanAntonio__ Info dong Dana operasional Danantara beneran (salah 1nya)pakai Bank Swasta milik adek Lengkap sudah PT KapalKeruk 3serangkai.,info dana operasional danantara beneran salah 1nyapakai bank swasta milik adek lengkap pt kapalkeruk 3serangkai,0,2,False;;
@ourobolu Biar ga mangkrak pake duit yg ada di danantara,biar ga mangkrak pake duit yg danantara,1,0,False;;
@KompasTV Tp mantan presiden Thailand dipekerjakan di Indonesia sebagai penasihat danantara padahal koruptor,tp mantan presiden thailand kerja indonesia nasihat danantara koruptor,1,0,False;;
@TirtoID Tapi tidak mendukung orang2 di dalam danantara,dukung orang2 danantara,0,1,False;;
@1rfani @suryapg96 @yyymleh @tasaralesya Kemaren ada artikel pertamina siap dikelola danantara loh,kemaren artikel pertamina kelola danantara loh,2,0,False;;
sejak naiknya kasus korupsi pertamina perasaan danantara jadi sepi yg bahas ya? ,naik korupsi pertamina asa danantara sepi yg bahas ya,2,0,False;;
Skema Investasi Danantara dan Huayou: buntung apa untung https://t.co/bM7Xjg1KB7 #NARCISSISM_Trademark #JusticeForArgo #SuaraBatak #BatakBerbicara #TapanuliVoice #Innovation #AI #Breakingnews #DigitalNews #JKTInfo #KritikPemerintahan #WongCilik #JakartaHits #WeLoveJakarta #Batak https://t.co/I5V9pOnghd,skema investasi danantara huayou buntung untung narcissismtrademark justiceforargo suarabatak batakberbicara tapanulivoice innovation ai breakingnews digitalnews jktinfo kritikpemerintahan wongcilik jakartahits welovejakarta batak,2,0,False;;
@thelakeshadow Cara Danantara menjawab rumor patut diapresiasi.,danantara rumor patut apresiasi,1,0,False;;
@DoankWarto mungkin bukan cuma danantara tapi kondisi keuangan Indonesia,danantara kondisi uang indonesia,2,0,False;;
@thelakeshadow Danantara berikan contoh komunikasi krisis yang baik.,danantara contoh komunikasi krisis,1,0,False;;
@nu_online Mitra pengemudi ojol di seluruh Indonesia jumlahnya jutaan . Mengapa tidak @KemenBUMN DANANTARA atau KOPERASI MERAH PUTIH punya aplikator ojol ? DARI RAKYAT OLEH RAKYAT UNTUK RAKYAT BUKAN UNTUK PEMERAS KERINGAT RAKYAT @prabowo @GrabID @gojekindonesia @Gerindra,mitra kemudi ojol indonesia juta danantara koperasi merah putih aplikator ojol rakyat rakyat rakyat peras keringat rakyat,2,0,False;;
Utusan Khusus Presiden Bidang Iklim dan Energi sekaligus adik Presiden Prabowo Subianto Hashim Djojohadikusumo mengatakan pembentukan Badan Pengelola Investasi Daya Anagata Nusantara (Danantara) merupakan gagasan orang tua mereka. #prabowo #gibran #pemerintah #indonesia https://t.co/2HjSgqOu8g,utus khusus presiden bidang iklim energi adik presiden prabowo subianto hashim djojohadikusumomengatakan bentuk badan kelola investasi daya anagata nusantara danantara gagas orang tua prabowo gibran perintah indonesia,2,1,False;;
@PaltiWest2024 Coba tag akun sosmed nya mungkin dengan baca ini semua mereka jadi jernih,coba tag akun sosmed nya baca jernih,1,0,False;;
Danantara menghadapi jalan terjal! Mampukah menembus dominasi korporasi dan oligarki? Simak pandangan tajam Ichsanuddin Noorsy. #Danantara https://t.co/nVmGDM6R2r,danantara hadap jalan terjal tembus dominasi korporasi oligarki simak pandang tajam ichsanuddin noorsy danantara,2,0,False;;
@Hilmi28 Ntar danantara nyusul melibas semua yg ada diperingkat atas kelasemen,ntar danantara nyusul libas yg peringkat kelasemen,1,0,False;;
