Text,Text Clean,Label,Predicted Label,Correct;
@kompascom Ternyata hanya OMONG KOSONG dgn DIREKSI DANANTARA tdk cawe-cawe ,Ternyata hanya OMONG KOSONG dgn DIREKSI DANANTARA tdk cawecawe,0,2,False;
Not saying this karena kerja di BUMN. Tapi kok kayaknya akhir2 ini perusahaan2 circle Danantara diserang bertubi2 ya? Aku yakin target berikutnya Mandiri atau BRI. I have a theory but it's a stretch.,Not saying this karena kerja di BUMN Tapi kok kayaknya akhir2 ini perusahaan2 circle Danantara diserang bertubi2 ya Aku yakin target berikutnya Mandiri atau BRI I have a theory but its a stretch,2,0,False;
@StefanAntonio__ Didalam danantara terselip ide yang dulu disebut family office paham ya apa itu family office ,Didalam danantara terselip ide yang dulu disebut family office paham ya apa itu family office,0,2,False;
@natsuyamaemma @alwaysaddddd @tanyakanrl Teorinya sih gitu kak. Tp kalo dalemnya bumn aja diubek² sama danantara apa kemungkinan yg akan terjadi? Kira² sama lah ya kayak kasusnya Jiwasraya,Teorinya sih gitu kak Tp kalo dalemnya bumn aja diubek sama danantara apa kemungkinan yg akan terjadi Kira sama lah ya kayak kasusnya Jiwasraya,0,2,False;
@txtfrombrand Ditahan ijin impor TKDN diatas 70% Selsih harga dari pertamina dinaikan Maksimal jumlah SPBU swasta dibatasi Ikut masuk pembiayaan danantara Negara minta saham sekian persen Hanya boleh jual dibawah RON 92,Ditahan ijin impor TKDN diatas 70 Selsih harga dari pertamina dinaikan Maksimal jumlah SPBU swasta dibatasi Ikut masuk pembiayaan danantara Negara minta saham sekian persen Hanya boleh jual dibawah RON 92,2,0,False;
Danantara hadir sebagai pusat pertumbuhan baru dengan ekosistem investasi kondusif infrastruktur modern dan kebijakan pro-bisnis. Didukung pemerintah kawasan ini menarik investor global menciptakan lapangan kerja serta mendorong inovasi dan daya saing Indonesia. https://t.co/T84nm7Nfny,Danantara hadir sebagai pusat pertumbuhan baru dengan ekosistem investasi kondusif infrastruktur modern dan kebijakan probisnis Didukung pemerintah kawasan ini menarik investor global menciptakan lapangan kerja serta mendorong inovasi dan daya saing Indonesia,2,1,False;
Isu Danantara blm bisa masuk ke lapisan bawah masyarakat karena terlalu tinggi dan njelimet .. klo isu Pertamax itu orang ga sekolah pun bisa langsung paham..,Isu Danantara blm bisa masuk ke lapisan bawah masyarakat karena terlalu tinggi dan njelimet klo isu Pertamax itu orang ga sekolah pun bisa langsung paham,2,0,False;
@TodungLubis Ketimbang jual provider dan satelit mending danantara dan hampir smua negara melakukan itu jgn lupa indosat dijual ke perusahaan senior danantara tamasek mgkn bisa dijabarkan knp indosat dijual dlu,Ketimbang jual provider dan satelit mending danantara dan hampir smua negara melakukan itu jgn lupa indosat dijual ke perusahaan senior danantara tamasek mgkn bisa dijabarkan knp indosat dijual dlu,1,2,False;
Halo @DivHumas_Polri ini ternaknya pake anggaran institusi ato gimana? Lagian juga momentumnya udah telat. Netijen lg seru2nya bahas pertamina &amp; danantara. Ato krn udah terlanjur bayar bayar bayar ternaknya ya jd musti tetep dikerjain? https://t.co/5RC28fqe2n https://t.co/oc616ibBKk,Halo ini ternaknya pake anggaran institusi ato gimana Lagian juga momentumnya udah telat Netijen lg seru2nya bahas pertamina dan danantara Ato krn udah terlanjur bayar bayar bayar ternaknya ya jd musti tetep dikerjain,2,0,False
@kemgelapan Liat following dia kalian paham konciannya dan lihat faktanya selama ini. Clue: Danantara.,Liat following dia kalian paham konciannya dan lihat faktanya selama ini Clue Danantara,0,2,False;
